,Date,Team,Name,DL_length,team_id,player_id
0,20000323, Rockies,John Thomson,60,COL,thomj005
1,20000401, Devil Rays,Wilson Alvarez,0,TBA,alvaw001
2,20000401, Dodgers,Antonio Osuna,15,LAN,osuna002
3,20000408, Mets,Darryl Hamilton,15,NYN,hamid001
4,20000408, Orioles,Mike Timlin,15,BAL,timlm001
5,20000408, Padres,Carlos Hernandez (Alberto),15,SDN,
7,20000426, Rangers,Mike Munoz,15,TEX,munom001
9,20000524, Braves,Kevin McGlinchy,15,ATL,mcglk001
10,20000524, Indians,Paul Shuey,15,CLE,shuep001
12,20000530, Diamondbacks,Todd Stottlemyre,15,ARI,stott001
14,20000530, Mariners,Gil Meche,15,SEA,mechg001
15,20000530, Mets,Rey Ordonez,15,NYN,ordor001
16,20000530, Padres,Sterling Hitchcock,15,SDN,hitcs001
17,20000530, Tigers,Gregg Jefferies,15,DET,jeffg001
19,20000530, Rangers,Dan Kolb,15,TEX,
20,20000621, Astros,Billy Wagner,15,HOU,wagnb001
21,20000621, Rangers,Darren Oliver,15,TEX,olivd001
24,20000703, Diamondbacks,Alex Cabrera,15,ARI,cabra001
27,20000707, Mariners,Frank Rodriguez,15,SEA,
29,20000707, Reds,Osvaldo Fernandez,15,CIN,ferno001
30,20000712, Phillies,Scott Aldred,60,PHI,aldrs001
31,20000712, Yankees,Shane Spencer,60,NYA,spens001
35,20000731, Astros,Mitch Meluskey,15,HOU,melum001
36,20000822, Athletics,Jeremy Giambi,15,OAK,giamj002
37,20000822, Mariners,Jay Buhner,15,SEA,buhnj001
38,20000831, Cardinals,Jason Woolf,15,SLN,
40,20000926, Indians,Charles Nagy,15,CLE,nagyc001
62,20010309, Orioles,Albert Belle,60,BAL,bellj002
63,20010311, Yankees,Allen Watson,60,NYA,watsa001
64,20010321, Reds,Seth Etherton,60,CIN,ethes001
65,20010322, Expos,Carl Pavano,15,MON,pavac001
66,20010322, Rangers,Gabe Kapler,0,TEX,kaplg001
67,20010323, Blue Jays,Andy Thompson,15,TOR,thoma002
68,20010323, Blue Jays,Jeff Frye,15,TOR,fryej001
69,20010323, Blue Jays,Mike Sirtoka,15,TOR,
70,20010323, Cardinals,Carlos Hernandez (Alberto),15,SLN,
71,20010323, Cardinals,Garrett Stephenson,15,SLN,stepg001
72,20010323, Cardinals,Jason Christiansen,15,SLN,chrij002
73,20010323, Cardinals,Luther Hackman,15,SLN,hackl001
74,20010325, Cardinals,Bobby Bonilla,15,SLN,bonib001
75,20010327, Brewers,Everett Stull,15,MIL,stule001
76,20010327, Brewers,Mark Loretta,15,MIL,lorem001
77,20010327, White Sox,Bill Simas,15,CHA,simab001
78,20010327, White Sox,James Baldwin (b. 1971-07-15),15,CHA,
79,20010331, Astros,Doug Brocail,15,HOU,brocd001
80,20010331, Astros,Shane Reynolds,15,HOU,reyns001
81,20010331, Athletics,Chad Harville,60,OAK,harvc001
82,20010331, Athletics,John Jaha,15,OAK,jahaj001
83,20010331, Blue Jays,Andy Thompson,15,TOR,thoma002
84,20010331, Blue Jays,Jeff Frye,15,TOR,fryej001
85,20010331, Blue Jays,Mike Sirotka,15,TOR,sirom001
86,20010331, Devil Rays,Juan Guzman (Andres),15,TBA,
87,20010331, Devil Rays,Wilson Alvarez,15,TBA,alvaw001
88,20010331, Diamondbacks,Reggie Sanders (Laverne),15,ARI,
89,20010331, Dodgers,(James) Kevin Brown,15,LAN,
90,20010331, Indians,Cameron Cairncross,60,CLE,cairc001
91,20010331, Indians,Charles Nagy,15,CLE,nagyc001
92,20010331, Indians,Dave Roberts (Ray),15,CLE,
93,20010331, Indians,Jaret Wright,15,CLE,wrigj002
94,20010331, Indians,Travis Fryman,15,CLE,frymt001
95,20010331, Marlins,A.J. Burnett,15,MIA,burna001
96,20010331, Marlins,Chuck Smith,15,MIA,smitc001
97,20010331, Marlins,Pablo Ozuna,15,MIA,ozunp001
98,20010331, Phillies,Cliff Politte,60,PHI,polic001
99,20010331, Phillies,Rob Ducey,15,PHI,duceb001
100,20010331, Pirates,Alex Hernandez,60,PIT,herna001
